,price,beds,accommodates,bedrooms,bathrooms,amenities_count,room_type,property_type,neighbourhood_cleansed,minimum_nights
47,75,1,1,1,1.5,45,Private room,Private room in home,EIGHTH WARD,1
48,230,2,4,2,1,35,Entire home/apt,Entire rental unit,SIXTH WARD,1
49,131.8,1,4,1,1,43,Entire home/apt,Entire rental unit,NINTH WARD,5
50,303,2,4,2,1,38,Entire home/apt,Entire rental unit,FOURTH WARD,1
51,137,3,5,2,1,41,Entire home/apt,Entire rental unit,THIRTEENTH WARD,3
52,177,3,4,1,1,51,Entire home/apt,Entire home,FOURTH WARD,1
53,132.4,2,4,2,1,49,Entire home/apt,Entire rental unit,SIXTH WARD,7
54,77.54,2,4,3,1,15,Entire home/apt,Entire rental unit,NINTH WARD,70
55,294.42,3,6,3,1.5,54,Entire home/apt,Entire home,FIRST WARD,1
56,293,2,4,2,1,56,Entire home/apt,Entire rental unit,SECOND WARD,1
57,301,2,3,1,1,35,Entire home/apt,Entire rental unit,SIXTH WARD,1
59,370.5,3,6,3,1,62,Entire home/apt,Entire home,EIGHTH WARD,2
60,140,1,4,2,1,34,Entire home/apt,Entire rental unit,SIXTH WARD,1
61,159,2,4,1,1,47,Entire home/apt,Entire rental unit,SIXTH WARD,1
62,173.54,2,4,2,1,24,Entire home/apt,Entire rental unit,EIGHTH WARD,13
63,168,1,3,1,1,26,Entire home/apt,Entire rental unit,FOURTEENTH WARD,1
64,166,3,4,2,1,38,Entire home/apt,Entire loft,SECOND WARD,1
65,217,1,3,1,1,44,Entire home/apt,Entire rental unit,SECOND WARD,1
66,217,1,3,1,1,41,Entire home/apt,Entire rental unit,SECOND WARD,1
67,234,2,4,2,1,44,Entire home/apt,Entire rental unit,SECOND WARD,1
68,331,2,4,2,1,41,Entire home/apt,Entire home,NINTH WARD,1
69,133.67,2,5,2,1,24,Entire home/apt,Entire rental unit,THIRTEENTH WARD,3
70,180,1,2,1,1,46,Entire home/apt,Entire rental unit,SIXTH WARD,1
71,121.73,1,3,1,1,29,Entire home/apt,Entire rental unit,FOURTEENTH WARD,3
72,150,1,3,1,1,71,Private room,Private room in home,THIRTEENTH WARD,1
73,197.67,3,3,2,1,24,Entire home/apt,Entire rental unit,THIRD WARD,1
74,218,2,4,1,1,50,Entire home/apt,Entire rental unit,THIRD WARD,1
75,264.75,4,6,3,1,57,Entire home/apt,Entire home,TENTH WARD,1
76,276,3,6,2,1,60,Entire home/apt,Entire rental unit,THIRD WARD,1
77,86,1,1,1,1,35,Private room,Private room in home,NINTH WARD,2
78,1040.5,7,13,6,5.5,66,Entire home/apt,Entire home,THIRTEENTH WARD,1
79,149,1,2,1,1,43,Entire home/apt,Entire rental unit,SIXTH WARD,2
80,126.5,1,2,1,1,55,Entire home/apt,Entire rental unit,SIXTH WARD,2
